"No.","Time","Source","Destination","Protocol","Length","Info"
"121","1.909894","OneplusT_f2:a1:d8","Broadcast","ARP","60","Who has 192.168.43.137? Tell 192.168.43.1"
"122","1.935959","","Cisco-Li_2f:54:f7 (68:7f:74:2f:54:f7) (RA)","802.11","10","Acknowledgement, Flags=........"
"123","1.963611","","Motorola_50:b3:82 (2c:fd:ab:50:b3:82) (RA)","802.11","10","Acknowledgement, Flags=........"
"124","1.990746","","Motorola_50:b3:82 (2c:fd:ab:50:b3:82) (RA)","802.11","10","Acknowledgement, Flags=........"
"125","2.036314","","Motorola_50:b3:82 (2c:fd:ab:50:b3:82) (RA)","802.11","10","Acknowledgement, Flags=........"
"126","2.060378","","Motorola_50:b3:82 (2c:fd:ab:50:b3:82) (RA)","802.11","10","Acknowledgement, Flags=........"
"127","2.060888","","Motorola_50:b3:82 (2c:fd:ab:50:b3:82) (RA)","802.11","10","Acknowledgement, Flags=........"
"128","2.139737","","Mediatek_52:42:be (00:0a:00:52:42:be) (RA)","802.11","10","Acknowledgement, Flags=........"
"129","2.140761","","Mediatek_52:42:be (00:0a:00:52:42:be) (RA)","802.11","10","Acknowledgement, Flags=........"
"130","2.150482","","HuaweiTe_14:8e:6e (b0:55:08:14:8e:6e) (RA)","802.11","10","Acknowledgement, Flags=........"
"131","2.152531","","Cisco-Li_2f:54:f7 (68:7f:74:2f:54:f7) (RA)","802.11","10","Acknowledgement, Flags=........"
"132","2.429071","","Apple_31:13:4d (bc:9f:ef:31:13:4d) (RA)","802.11","10","Acknowledgement, Flags=........"
"133","2.691735","","HuaweiTe_14:8e:6e (b0:55:08:14:8e:6e) (RA)","802.11","10","Acknowledgement, Flags=........"
"134","2.704025","","HuaweiTe_14:8e:6e (b0:55:08:14:8e:6e) (RA)","802.11","10","Acknowledgement, Flags=........"
"135","2.713748","","Cisco-Li_2f:54:f7 (68:7f:74:2f:54:f7) (RA)","802.11","10","Acknowledgement, Flags=........"
"136","2.933959","OneplusT_f2:a1:d8","Broadcast","ARP","60","Who has 192.168.43.137? Tell 192.168.43.1"
"137","3.002518","","HuaweiTe_14:8e:6e (b0:55:08:14:8e:6e) (RA)","802.11","10","Acknowledgement, Flags=........"
"138","3.004616","OneplusT_f2:a1:d8","Google_0b:60:db","802.11","198","Probe Response, SN=1267, FN=0, Flags=........, BI=100, SSID=jamnik"
"139","3.006665","OneplusT_f2:a1:d8","Google_0b:60:db","802.11","198","Probe Response, SN=1267, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"140","3.008712","OneplusT_f2:a1:d8","Google_0b:60:db","802.11","198","Probe Response, SN=1267, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"141","3.008662","","OneplusT_f2:a1:d8 (c0:ee:fb:f2:a1:d8) (RA)","802.11","10","Acknowledgement, Flags=........"
"142","3.024072","OneplusT_f2:a1:d8","Google_0b:60:db","802.11","198","Probe Response, SN=1268, FN=0, Flags=........, BI=100, SSID=jamnik"
"143","3.032264","OneplusT_f2:a1:d8","Google_0b:60:db","802.11","198","Probe Response, SN=1268, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"144","3.034312","OneplusT_f2:a1:d8","Google_0b:60:db","802.11","198","Probe Response, SN=1268, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"145","3.034264","","OneplusT_f2:a1:d8 (c0:ee:fb:f2:a1:d8) (RA)","802.11","10","Acknowledgement, Flags=........"
"146","3.037337","Tp-LinkT_41:70:6e (ac:84:c6:41:70:6e) (TA)","Mediatek_52:42:be (00:0a:00:52:42:be) (RA)","802.11","28","802.11 Block Ack, Flags=........"
"147","3.038874","","Mediatek_52:42:be (00:0a:00:52:42:be) (RA)","802.11","10","Acknowledgement, Flags=........"
"148","3.080856","Tp-LinkT_41:70:6e (ac:84:c6:41:70:6e) (TA)","Mediatek_52:42:be (00:0a:00:52:42:be) (RA)","802.11","28","802.11 Block Ack, Flags=........"
"149","3.101336","Tp-LinkT_41:70:6e (ac:84:c6:41:70:6e) (TA)","Mediatek_52:42:be (00:0a:00:52:42:be) (RA)","802.11","28","802.11 Block Ack, Flags=........"
"150","3.105433","Tp-LinkT_41:70:6e (ac:84:c6:41:70:6e) (TA)","Mediatek_52:42:be (00:0a:00:52:42:be) (RA)","802.11","28","802.11 Block Ack, Flags=........"
"151","3.485447","OneplusT_f2:a1:d8","Motorola_d8:cf:71","802.11","175","Probe Response, SN=2493, FN=0, Flags=........, BI=100, SSID=jamnik"
"152","3.487495","OneplusT_f2:a1:d8","Motorola_d8:cf:71","802.11","175","Probe Response, SN=2493, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"153","3.489021","OneplusT_f2:a1:d8","Motorola_d8:cf:71","802.11","175","Probe Response, SN=2493, FN=0, Flags=....R..., BI=100, SSID=jamnik"
"154","3.490555","OneplusT_f2:a1:d8","Motorola_d8:cf:71","802.11","175","Probe Response, SN=2493, FN=0, Flags=....R..., BI=100, SSID=jamnik"
